epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.979,1.2151,1.81021,1.28849,0.55173,0.31242,0.35648,0.19847,1.41351,2.51135,1.53513,0.000657005,0.000657005,0.000657005
2,959.368,1.36726,1.65297,1.43932,0.28201,0.27657,0.15584,0.06973,1.85154,3.20972,2.20924,0.00129746,0.00129746,0.00129746
